age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,subscribed,date,latitude,longitude,contact_month,contact_year,Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth
49,housemaid,MARRIED,basic.4y,False,False,False,telephone,261,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-08-02,41.495,-71.233,8,2019,161770,1,0,2012-04-04,29
57,services,MARRIED,high.school,True,False,False,telephone,149,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-09-14,34.601,-83.923,9,2016,85477,1,1,2012-12-30,7
37,services,MARRIED,high.school,False,True,False,telephone,226,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-02-15,34.939,-94.847,2,2019,147233,1,1,2012-02-02,5
40,admin.,MARRIED,basic.6y,False,False,False,telephone,151,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2015-11-29,49.041,-70.308,11,2015,121393,1,2,2012-12-21,29
56,services,MARRIED,high.school,False,False,True,telephone,307,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2017-01-29,38.033,-104.463,1,2017,63164,1,2,2012-06-20,20
45,services,MARRIED,basic.9y,True,False,False,telephone,198,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-09-26,24.689,-101.643,9,2015,143854,0,1,2012-01-24,26
59,admin.,MARRIED,professional.course,False,False,False,telephone,139,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-01-25,31.456,-94.561,1,2019,76439,1,0,2012-08-15,3
40,blue-collar,MARRIED,unknown,True,False,False,telephone,217,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-09-25,46.871,-122.235,9,2017,159686,1,1,2012-12-10,21
24,technician,SINGLE,professional.course,False,True,False,telephone,380,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-01-18,44.632,-85.811,1,2018,179933,0,0,2012-08-22,18
25,services,SINGLE,high.school,False,True,False,telephone,50,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-11-02,30.297,-117.382,11,2016,77504,1,0,2012-02-09,18
40,blue-collar,MARRIED,unknown,True,False,False,telephone,55,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-11-30,43.616,-90.902,11,2015,92882,1,1,2012-01-05,9
25,services,SINGLE,high.school,False,True,False,telephone,222,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-04-17,49.118,-85.121,4,2016,84813,0,1,2012-06-06,30
29,blue-collar,SINGLE,high.school,False,False,True,telephone,137,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-06-14,30.047,-112.472,6,2016,102006,0,1,2012-03-24,18
57,housemaid,DIVORCED,basic.4y,False,True,False,telephone,293,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-08-25,28.873,-70.852,8,2015,140801,2,1,2012-02-11,32
35,blue-collar,MARRIED,basic.6y,False,True,False,telephone,146,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-09-19,36.188,-109.835,9,2016,73262,2,2,2012-09-10,27
54,retired,MARRIED,basic.9y,True,True,True,telephone,174,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-01-03,41.311,-75.496,1,2016,117422,1,2,2012-04-05,15
35,blue-collar,MARRIED,basic.6y,False,True,False,telephone,312,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-02-28,39.867,-91.016,2,2018,70235,1,1,2012-03-11,27
39,blue-collar,MARRIED,basic.6y,True,True,True,telephone,440,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-03-29,31.284,-76.228,3,2019,106688,1,1,2012-01-22,5
50,blue-collar,MARRIED,basic.9y,False,True,True,telephone,353,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2018-10-25,39.231,-100.643,10,2018,99745,2,2,2012-12-11,20
39,management,SINGLE,basic.9y,True,False,False,telephone,195,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2017-07-01,27.284,-69.955,7,2017,173275,2,0,2012-04-17,26
30,unemployed,MARRIED,high.school,False,False,False,telephone,38,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-04-20,43.783,-70.925,4,2017,32331,1,2,2012-02-27,28
55,blue-collar,MARRIED,basic.4y,True,True,False,telephone,262,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-08-11,25.892,-92.643,8,2016,158116,0,2,2012-10-08,21
55,retired,SINGLE,high.school,False,True,False,telephone,342,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2019-12-24,35.978,-122.628,12,2019,38474,0,0,2012-03-20,2
38,technician,SINGLE,high.school,False,True,False,telephone,181,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2015-06-10,37.337,-90.915,6,2015,179682,2,0,2012-09-26,17
37,admin.,MARRIED,high.school,False,True,False,telephone,172,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2017-05-19,39.448,-92.851,5,2017,49728,1,2,2012-02-07,12
35,technician,MARRIED,university.degree,False,False,True,telephone,99,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2018-03-19,46.594,-78.17,3,2018,176324,1,0,2012-04-04,1
40,technician,MARRIED,unknown,False,True,False,telephone,93,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-09-25,44.446,-74.218,9,2016,104766,0,2,2012-12-19,32
39,self-employed,MARRIED,basic.9y,True,False,False,telephone,233,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,51910,False,2016-11-23,43.028,-96.627,11,2016,118851,0,2,2012-02-08,30
54,technician,SINGLE,university.degree,True,False,False,telephone,255,2,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2016-12-05,30.242,-67.276,12,2016,54609,1,1,2012-01-08,25
40,admin.,MARRIED,unknown,False,False,False,telephone,348,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.61,51910,False,2019-12-20,46.952,-97.482,12,2019,172888,1,2,2012-11-01,10
